speed,distance,weather,obstacle,ir_data,uv_data,braking_force
36,136,3,4,130.0535447699,1,4120
53,57,3,3,52.6665122731603,0,7340
95,171,3,2,165.791336710132,1,6020
19,85,1,4,80.8472064152461,0,5200
80,7,3,1,1.79001673896867,0,10000
65,47,1,3,38.3239885567362,1,8640
21,29,1,1,24.6655083649903,0,6980
82,57,3,4,54.9178850584547,0,8790
89,23,2,1,20.5650073236443,1,10000
110,119,1,1,113.32931663806,1,8730
19,113,2,4,108.634612598465,1,4160
90,84,2,1,77.8397777697673,0,8580
105,176,2,3,170.319845628099,1,6570
103,46,1,3,40.8477702158942,1,10000
39,124,2,3,120.272616218794,1,4830
17,114,2,3,106.227035814457,1,4030
91,135,1,4,131.096130685738,1,7300
92,93,1,4,88.4259349895675,0,8610
13,171,1,1,163.058928509315,1,2320
90,60,2,2,56.3598655576671,0,9300
119,105,3,4,101.844279680407,0,9200
62,100,3,4,97.8996794672151,0,6500
51,189,3,1,184.365599580561,1,3280
55,175,2,3,168.262280241176,1,4100
108,46,1,1,44.4790006891489,0,10000
46,92,2,4,87.0928639428785,0,6140
78,22,2,2,21.4242415234595,1,9840
3,144,3,1,137.784076028504,0,2230
55,86,1,4,82.1030757440729,0,6970
94,188,2,2,183.495156036421,0,5660
21,125,1,1,119.476512131779,1,4100
47,187,1,2,183.055261745339,1,3540
18,40,2,4,33.0939591933895,1,6300
101,50,3,2,44.8349542918172,1,9950
101,18,2,3,14.3957923428181,1,10000
104,20,3,3,14.344511728253,1,10000
84,192,2,1,185.392026929956,1,5040
2,152,2,2,148.928428033419,1,2140
17,84,2,1,75.8690747188901,0,4930
32,116,3,2,111.599089706529,0,4520
81,192,1,3,186.266455556071,0,5090
118,33,1,4,29.2716555313235,0,10000
24,92,1,1,85.7773275540789,0,5240
27,106,2,1,103.688106399619,1,4770
20,111,3,3,106.657988476021,1,4070
46,74,3,1,66.4970462570833,0,6480
12,166,3,2,160.081808797655,1,2020
59,63,1,4,52.4394841169082,1,7860
20,59,1,3,54.1126450084395,0,6030
68,48,1,1,39.8770995352797,0,8760
58,140,2,1,138.431424171586,1,5300
